name,aliases,titles,rule,race,birth,death,gender,culture,languages,hair,height,realm,spouse,children,weapon,wikiUrl,imageUrl,_id
Rúmil (Noldo),,,,Elf,YT,,Male,,,,,,,,,http://lotr.wikia.com//wiki/R%C3%BAmil_(Noldo),,ObjectId(5cd99d4bde30eff6ebccfde1)
Lotho Sackville-Baggins,,,,Hobbit,TA 2964,TA 3019,Male,,,Sandy,"1.22m (4'0"")",,None,,,http://lotr.wikia.com//wiki/Lotho_Sackville-Baggins,,ObjectId(5cd99d4bde30eff6ebccfde2)
Sadoc Brandybuck,,,,Hobbit,SR 1179,,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Sadoc_Brandybuck,,ObjectId(5cd99d4bde30eff6ebccfde3)
Sador,,,,Human,"about ,FA 430",FA 495,Male,,,,,,None known,,,http://lotr.wikia.com//wiki/Sador,,ObjectId(5cd99d4bde30eff6ebccfde4)
Saelon,,,,Human,Fourth Age,,Male,,,,,,,,,http://lotr.wikia.com//wiki/Saelon,,ObjectId(5cd99d4bde30eff6ebccfde5)
Rúmil of Lórien,,,,Elf,,,Male,,,,,,,,,http://lotr.wikia.com//wiki/R%C3%BAmil_of_L%C3%B3rien,,ObjectId(5cd99d4bde30eff6ebccfde6)
Sagroth,,,,Human,,,Male,,,,,,,,,http://lotr.wikia.com//wiki/Sagroth,,ObjectId(5cd99d4bde30eff6ebccfde7)
Rómendacil II,,,,Human,TA 1126,TA 1366,Male,,,,,Gondor,Unnamed wife,,,http://lotr.wikia.com//wiki/R%C3%B3mendacil_II,,ObjectId(5cd99d4bde30eff6ebccfde8)
Silmariën,,,,Human,SA 521,,Female,,,,,,Elatan,,,http://lotr.wikia.com//wiki/Silmari%C3%ABn,,ObjectId(5cd99d4bde30eff6ebccfde9)
Sangahyando,,,,Human,"Mid-,Third Age",,Male,,,,,,,,,http://lotr.wikia.com//wiki/Sangahyando,,ObjectId(5cd99d4bde30eff6ebccfdea)
Siriondil,,,,Human,TA 570,TA 830,Male,,,,,Gondor,Unnamed wife,,,http://lotr.wikia.com//wiki/Siriondil,,ObjectId(5cd99d4bde30eff6ebccfdeb)
Saradas Brandybuck,,,,Hobbit,SR 1308,SR 1407,Male,,,,,,,,,http://lotr.wikia.com//wiki/Saradas_Brandybuck,,ObjectId(5cd99d4bde30eff6ebccfdec)
Robin Smallburrow,,,,Hobbit,"Late ,Third Age",,Male,,,,,,,,,http://lotr.wikia.com//wiki/Robin_Smallburrow,,ObjectId(5cd99d4bde30eff6ebccfded)
Soronto,,,,Human,SA 799,"Early ,Second Age",Male,,,,,,None,,,http://lotr.wikia.com//wiki/Soronto,,ObjectId(5cd99d4bde30eff6ebccfdee)
Morwen Steelsheen,,,,Human,TA 2922,,Female,,,Dark,Tall,Rohan,Thengel,,,http://lotr.wikia.com//wiki/Morwen_Steelsheen,,ObjectId(5cd99d4bde30eff6ebccfdef)
Tar-Alcarin,,,,Human,SA 2406,SA 2737,Male,,,,,Númenor,Unnamed wife,,,http://lotr.wikia.com//wiki/Tar-Alcarin,,ObjectId(5cd99d4bde30eff6ebccfdf0)
Ted Sandyman,,,,Hobbit,TA 2920,FO 50,Male,,,,,,,,,http://lotr.wikia.com//wiki/Ted_Sandyman,,ObjectId(5cd99d4bde30eff6ebccfdf1)
Tar-Aldarion,,,,Human,SA 700,SA 1098,Male,,,,,Númenor,Erendis,,,http://lotr.wikia.com//wiki/Tar-Aldarion,,ObjectId(5cd99d4bde30eff6ebccfdf2)
Tar-Amandil,,,,Human,SA 192,SA 603,Male,,,,,Númenor,Unnamed wife,,,http://lotr.wikia.com//wiki/Tar-Amandil,,ObjectId(5cd99d4bde30eff6ebccfdf3)
Tar-Ancalimon,,,,Human,SA 1986,SA 2386,Male,,,,,Númenor,Unnamed wife,,,http://lotr.wikia.com//wiki/Tar-Ancalimon,,ObjectId(5cd99d4bde30eff6ebccfdf4)
Tar-Anárion,,,,Human,SA 1003,SA 1404,Male,,,,,Númenor,Unnamed wife,,,http://lotr.wikia.com//wiki/Tar-An%C3%A1rion,,ObjectId(5cd99d4bde30eff6ebccfdf5)
Tar-Ardamin,,,,Human,SA 2618,SA 2899,Male,,,,,Númenor,Unnamed wife,,,http://lotr.wikia.com//wiki/Tar-Ardamin,,ObjectId(5cd99d4bde30eff6ebccfdf6)
Tar-Atanamir,,,,Human,SA 1800,SA 2221,Male,,,,,Númenor,Unnamed wife,,,http://lotr.wikia.com//wiki/Tar-Atanamir,,ObjectId(5cd99d4bde30eff6ebccfdf7)
Tar-Calmacil,,,,Human,SA 2516,SA 2825,Male,,,,,Númenor,Unnamed wife,,,http://lotr.wikia.com//wiki/Tar-Calmacil,,ObjectId(5cd99d4bde30eff6ebccfdf8)
Tar-Ciryatan,,,,Human,SA 1634,SA 2035,Male,,,,,Númenor,Unnamed wife,,,http://lotr.wikia.com//wiki/Tar-Ciryatan,,ObjectId(5cd99d4bde30eff6ebccfdf9)
Tar-Elendil,,,,Human,SA 350,SA 751,Male,,,,,Númenor,Unnamed wife,,,http://lotr.wikia.com//wiki/Tar-Elendil,,ObjectId(5cd99d4bde30eff6ebccfdfa)
Tar-Ancalimë,,,,Human,SA 873,SA 1285,Female,,,,,Númenor,Hallacar,,,http://lotr.wikia.com//wiki/Tar-Ancalim%C3%AB,,ObjectId(5cd99d4bde30eff6ebccfdfb)
Tar-Palantir,,,,Human,SA 3035,SA 3255,Male,,,,,Númenor,Unnamed wife,,,http://lotr.wikia.com//wiki/Tar-Palantir,,ObjectId(5cd99d4bde30eff6ebccfdfc)
Tar-Súrion,,,,Human,SA 1174,SA 1574,Male,,,,,Númenor,Unnamed wife,,,http://lotr.wikia.com//wiki/Tar-S%C3%BArion,,ObjectId(5cd99d4bde30eff6ebccfdfd)
Tar-Minastir,,,,Human,SA 1474,SA 1873,Male,,,,,Númenor,Unnamed wife,,,http://lotr.wikia.com//wiki/Tar-Minastir,,ObjectId(5cd99d4bde30eff6ebccfdfe)
Tar-Míriel,,,,Human,SA 3117,SA 3319,Female,,,,,Númenor,Ar-Pharazôn,,,http://lotr.wikia.com//wiki/Tar-M%C3%ADriel,,ObjectId(5cd99d4bde30eff6ebccfdff)
Tar-Telperiën,,,,Human,SA 1320,SA 1731,Female,,,,,Númenor,None,,,http://lotr.wikia.com//wiki/Tar-Telperi%C3%ABn,,ObjectId(5cd99d4bde30eff6ebccfe00)
Tar-Vanimeldë,,,,Human,SA 2277,SA 2637,Female,,,,,Númenor,Herucalmo,,,http://lotr.wikia.com//wiki/Tar-Vanimeld%C3%AB,,ObjectId(5cd99d4bde30eff6ebccfe01)
Tarannon Falastur,,,,Human,TA 654,TA 913,Male,,,,,Gondor,Berúthiel,,,http://lotr.wikia.com//wiki/Tarannon_Falastur,,ObjectId(5cd99d4bde30eff6ebccfe02)
Tar-Telemmaitë,,,,Human,SA 2136,SA 2526,Male,,,,,Númenor,Unnamed wife,,,http://lotr.wikia.com//wiki/Tar-Telemmait%C3%AB,,ObjectId(5cd99d4bde30eff6ebccfe03)
Tarcil,,,,Human,TA 280,TA 515,Male,,,,,Arnor,Unnamed wife,,,http://lotr.wikia.com//wiki/Tarcil,,ObjectId(5cd99d4bde30eff6ebccfe04)
Tar-Meneldur,,,,Human,SA 543,SA 942,Male,,,,,Númenor,Almarian,,,http://lotr.wikia.com//wiki/Tar-Meneldur,,ObjectId(5cd99d4bde30eff6ebccfe05)
Targon,,,,Human,"Late ,Third Age",,Male,,,,,,,,,http://lotr.wikia.com//wiki/Targon,,ObjectId(5cd99d4bde30eff6ebccfe06)
Tata,,,,Elf,"Unknown, awakened in the ,Years of the Trees",,Male,,,,,,Tatië,,,http://lotr.wikia.com//wiki/Tata,,ObjectId(5cd99d4bde30eff6ebccfe07)
Tatië,,,,Elf,"Unknown, awakened in the ,Years of the Trees",,Female,,,,,,Tata,,,http://lotr.wikia.com//wiki/Tati%C3%AB,,ObjectId(5cd99d4bde30eff6ebccfe08)
Tarciryan,,,,Human,"After ,TA 654","Before ,TA 913",Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Tarciryan,,ObjectId(5cd99d4bde30eff6ebccfe09)
Telchar,,,,Dwarf,First Age,First Age,Male,,,,,,,,,http://lotr.wikia.com//wiki/Telchar,,ObjectId(5cd99d4bde30eff6ebccfe0a)
Telemnar,,,,Human,TA 1516,TA 1636,Male,,,,,Gondor,Unnamed wife,,,http://lotr.wikia.com//wiki/Telemnar,,ObjectId(5cd99d4bde30eff6ebccfe0b)
Telumehtar,,,,Human,TA 1632,TA 1850,Male,,,,,Gondor,Unnamed wife,,,http://lotr.wikia.com//wiki/Telumehtar,,ObjectId(5cd99d4bde30eff6ebccfe0c)
The King of the Dead,,,,Human,Second Age,"Sometime after the ,War of the Last Alliance",Male,,,,Tall,"White Mountains,Paths of the Dead",,,,http://lotr.wikia.com//wiki/The_King_of_the_Dead,,ObjectId(5cd99d4bde30eff6ebccfe0d)
Tarondor,,,,Human,TA 1577,TA 1798,Male,,,,,Gondor,Unnamed wife,,,http://lotr.wikia.com//wiki/Tarondor,,ObjectId(5cd99d4bde30eff6ebccfe0e)
Tarondor of Arnor,,,,Human,TA 372,TA 602,Male,,,,,Arnor,Unnamed wife,,,http://lotr.wikia.com//wiki/Tarondor_of_Arnor,,ObjectId(5cd99d4bde30eff6ebccfe0f)
User:Technobliterator/Showcase,,,,Hobbit,,,,,,,,,,,,http://lotr.wikia.com//wiki/User:Technobliterator/Showcase,,ObjectId(5cd99d4bde30eff6ebccfe10)
Thengel,,,,Human,TA 2905,TA 2980,Male,,,,,Rohan,Morwen Steelsheen,,,http://lotr.wikia.com//wiki/Thengel,,ObjectId(5cd99d4bde30eff6ebccfe11)
Thorondir,,,,Human,TA 2782,TA 2882,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Thorondir,,ObjectId(5cd99d4bde30eff6ebccfe12)
Thranduil,,,,Elf,First Age,"Presumably departed to ,Aman",Male,,,Golden,Tall,"Woodland Realm,Mirkwood",Unnamed wife,,,http://lotr.wikia.com//wiki/Thranduil,,ObjectId(5cd99d4bde30eff6ebccfe13)
Thráin I,,,,Dwarf,TA 1934,TA 2190,Male,,,,,Khazad-dûm,Unnamed wife,,,http://lotr.wikia.com//wiki/Thr%C3%A1in_I,,ObjectId(5cd99d4bde30eff6ebccfe14)
Thorin II Oakenshield,,,,Dwarf,TA 2746,"November 23, TA 2941",Male,,,,,Ered Luin,,,,http://lotr.wikia.com//wiki/Thorin_II_Oakenshield,,ObjectId(5cd99d4bde30eff6ebccfe15)
Thráin II,,,,Dwarf,TA 2644,TA 2850,Male,,,,,Lonely Mountain,Unnamed wife,,,http://lotr.wikia.com//wiki/Thr%C3%A1in_II,,ObjectId(5cd99d4bde30eff6ebccfe16)
Thorin III Stonehelm,,,,Dwarf,TA 2866,"FO 137,(aged 280)",Male,,,,,"Lonely Mountain,Iron Hills",,,,http://lotr.wikia.com//wiki/Thorin_III_Stonehelm,,ObjectId(5cd99d4bde30eff6ebccfe17)
Thrór,,,,Dwarf,TA 2542,TA 2790,Male,,,Grey-white,,"Grey Mountains,Lonely Mountain",Unnamed wife,,,http://lotr.wikia.com//wiki/Thr%C3%B3r,,ObjectId(5cd99d4bde30eff6ebccfe18)
Théoden,,,,Human,"TA 2948 ,Gondor","March 15 ,3019",Male,,,White with braids (book) Blonde (films),Tall,,Elfhild,,,http://lotr.wikia.com//wiki/Th%C3%A9oden,,ObjectId(5cd99d4bde30eff6ebccfe19)
Théodred,,,,Human,TA 2978,"February 25 ,3019",Male,,,,,,,,,http://lotr.wikia.com//wiki/Th%C3%A9odred,,ObjectId(5cd99d4bde30eff6ebccfe1a)
Tindómiel,,,,Human,"After ,SA 61","Early ,Second Age",Female,,,,,,,,,http://lotr.wikia.com//wiki/Tind%C3%B3miel,,ObjectId(5cd99d4bde30eff6ebccfe1b)
Thorin I,,,,Dwarf,TA 2035,TA 2289,Male,,,,,"Lonely Mountain,Grey Mountains",Unnamed wife,,,http://lotr.wikia.com//wiki/Thorin_I,,ObjectId(5cd99d4bde30eff6ebccfe1c)
Faramir Took I,,,,Hobbit,FO 10,FO 112,Male,,,,,,Goldilocks Gardner,,,http://lotr.wikia.com//wiki/Faramir_Took_I,,ObjectId(5cd99d4bde30eff6ebccfe1d)
Isumbras Took I,,,,Hobbit,TA 2295,TA 2398,Male,,,,,,,,,http://lotr.wikia.com//wiki/Isumbras_Took_I,,ObjectId(5cd99d4bde30eff6ebccfe1e)
Fortinbras Took II,,,,Hobbit,TA 2878,TA 2980,Male,,,,,,Lalia Clayhanger,,,http://lotr.wikia.com//wiki/Fortinbras_Took_II,,ObjectId(5cd99d4bde30eff6ebccfe1f)
Isumbras Took III,,,,Hobbit,TA 2666,TA 2759,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Isumbras_Took_III,,ObjectId(5cd99d4bde30eff6ebccfe20)
Adalgrim Took,,,,Hobbit,TA 2880,TA 2982,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Adalgrim_Took,,ObjectId(5cd99d4bde30eff6ebccfe21)
Adamanta (Chubb) Took,,,,Hobbit,TA 2817,TA 2923,Female,,,,,,"Gerontius ""The Old"" Took",,,http://lotr.wikia.com//wiki/Adamanta_(Chubb)_Took,,ObjectId(5cd99d4bde30eff6ebccfe22)
Isengrim Took II,,,,Hobbit,TA 2620,TA 2722,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Isengrim_Took_II,,ObjectId(5cd99d4bde30eff6ebccfe23)
Adelard Took,,,,Hobbit,TA 2928,FO 2,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Adelard_Took,,ObjectId(5cd99d4bde30eff6ebccfe24)
Ferumbras III Took,,,,Hobbit,TA 2916,TA 3015,Male,,,,,,None,,,http://lotr.wikia.com//wiki/Ferumbras_III_Took,,ObjectId(5cd99d4bde30eff6ebccfe25)
Bandobras Took,,,,Hobbit,TA 2701,TA 2800,Male,,,,"1.35m (4'5"")",,Unnamed wife,,,http://lotr.wikia.com//wiki/Bandobras_Took,,ObjectId(5cd99d4bde30eff6ebccfe26)
Hildifons Took,,,,Hobbit,TA 2844,,Male,,,,,,,,,http://lotr.wikia.com//wiki/Hildifons_Took,,ObjectId(5cd99d4bde30eff6ebccfe27)
Isembard Took,,,,Hobbit,TA 2847,"TA 2946, (SR 1346",Male,,,,,,,,,http://lotr.wikia.com//wiki/Isembard_Took,,ObjectId(5cd99d4bde30eff6ebccfe28)
Hildigrim Took,,,,Hobbit,SR 1240,SR 1341,Male,,,,,,Rosa Baggins,,,http://lotr.wikia.com//wiki/Hildigrim_Took,,ObjectId(5cd99d4bde30eff6ebccfe29)
Gerontius Took,,,,Hobbit,TA 2790,TA 2920,Male,,,,,,Adamanta Chubb,,,http://lotr.wikia.com//wiki/Gerontius_Took,,ObjectId(5cd99d4bde30eff6ebccfe2a)
Hildibrand Took,,,,Hobbit,TA 2849,TA 2934,Male,,,,,,,,,http://lotr.wikia.com//wiki/Hildibrand_Took,,ObjectId(5cd99d4bde30eff6ebccfe2b)
Paladin Took II,,,,Hobbit,TA 2933,FO 13,Male,,,,,,Eglantine Banks,,,http://lotr.wikia.com//wiki/Paladin_Took_II,,ObjectId(5cd99d4bde30eff6ebccfe2c)
Pearl Took,,,,Hobbit,TA 2975,"before ,FO 63",Female,,,,,,None,,,http://lotr.wikia.com//wiki/Pearl_Took,,ObjectId(5cd99d4bde30eff6ebccfe2d)
Peregrin Took,,,,Hobbit,TA 2990,FO 65,Male,,,Almost golden,"1.34m (4'5"")",,Diamond of Long Cleeve,,,http://lotr.wikia.com//wiki/Peregrin_Took,,ObjectId(5cd99d4bde30eff6ebccfe2e)
Rosa (Baggins) Took,,,,Hobbit,SR 1256,,Female,,,,,,Hildigrim Took,,,http://lotr.wikia.com//wiki/Rosa_(Baggins)_Took,,ObjectId(5cd99d4bde30eff6ebccfe2f)
Sigismond Took,,,,Hobbit,TA 2890,TA 2981,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Sigismond_Took,,ObjectId(5cd99d4bde30eff6ebccfe30)
Turgon,,,,Elf,YT 1300,FA 510,Male,,,Dark,,"Nevrast,Gondolin",Elenwë,,,http://lotr.wikia.com//wiki/Turgon,,ObjectId(5cd99d4bde30eff6ebccfe31)
Turgon (Steward),,,,Human,TA 2855,TA 2953,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Turgon_(Steward),,ObjectId(5cd99d4bde30eff6ebccfe32)
Túrin,,,,Human,FA 464,FA 499,Male,,,Dark,Tall,,Nienor,,,http://lotr.wikia.com//wiki/T%C3%BArin,,ObjectId(5cd99d4bde30eff6ebccfe33)
Tulkastor,,,,Elf,YT,,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Tulkastor,,ObjectId(5cd99d4bde30eff6ebccfe34)
Tuor,,,,Human,FA 472,None; sailed into the West and was accounted amongst the Eldar,Male,,,Golden,Tall,,Idril Celebrindal,,,http://lotr.wikia.com//wiki/Tuor,,ObjectId(5cd99d4bde30eff6ebccfe35)
Turambar,,,,Human,TA 397,TA 667,Male,,,,,Gondor,Unnamed wife,,,http://lotr.wikia.com//wiki/Turambar,,ObjectId(5cd99d4bde30eff6ebccfe36)
Uldor,,,,Human,"Mid ,First Age",FA 473,Male,,,,,,,,,http://lotr.wikia.com//wiki/Uldor,,ObjectId(5cd99d4bde30eff6ebccfe37)
Túrin II,,,,Human,TA 2815,TA 2914,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/T%C3%BArin_II,,ObjectId(5cd99d4bde30eff6ebccfe38)
Ulfang,,,,Human,"Late ,First Age",FA 473,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Ulfang,,ObjectId(5cd99d4bde30eff6ebccfe39)
Ulfast,,,,Human,"Mid ,First Age",FA 473,Male,,,,,,,,,http://lotr.wikia.com//wiki/Ulfast,,ObjectId(5cd99d4bde30eff6ebccfe3a)
Ulbar,,,,Human,"Early ,Second Age",Mid Second Age,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Ulbar,,ObjectId(5cd99d4bde30eff6ebccfe3b)
Túrin I,,,,Human,TA 2165,TA 2278,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/T%C3%BArin_I,,ObjectId(5cd99d4bde30eff6ebccfe3c)
Urthel,,,,Human,"Late ,First Age",FA 460,Male,,,,,,,,,http://lotr.wikia.com//wiki/Urthel,,ObjectId(5cd99d4bde30eff6ebccfe3d)
Ulwarth,,,,Human,"Mid ,First Age",FA 473,Male,,,,,,,,,http://lotr.wikia.com//wiki/Ulwarth,,ObjectId(5cd99d4bde30eff6ebccfe3e)
Vairë (Elf),,,,Elf,YT,,Female,,,,,,Lindo,,,http://lotr.wikia.com//wiki/Vair%C3%AB_(Elf),,ObjectId(5cd99d4bde30eff6ebccfe3f)
Valacar,,,,Human,TA 1194,TA 1432,Male,,,,,Gondor,Vidumavi,,,http://lotr.wikia.com//wiki/Valacar,,ObjectId(5cd99d4bde30eff6ebccfe40)
Valandil,,,,Human,SA 3430,TA 249,Male,,,,,Arnor,Unnamed wife,,,http://lotr.wikia.com//wiki/Valandil,,ObjectId(5cd99d4bde30eff6ebccfe41)
Valandur,,,,Human,TA 462,TA 652,Male,,,,,Arnor,Unnamed wife,,,http://lotr.wikia.com//wiki/Valandur,,ObjectId(5cd99d4bde30eff6ebccfe42)
Valandil of Andúnië,,,,Human,"Early ,Second Age","Early ,Second Age",Male,,,,,,,,,http://lotr.wikia.com//wiki/Valandil_of_And%C3%BAni%C3%AB,,ObjectId(5cd99d4bde30eff6ebccfe43)
Vidugavia,,,,Human,"Mid-,Third Age",,Male,,,,,Rhovanion,Unnamed wife,,,http://lotr.wikia.com//wiki/Vidugavia,,ObjectId(5cd99d4bde30eff6ebccfe44)
Vardamir Nólimon,,,,Human,SA 61,SA 471,Male,,,,,Númenor,Unnamed wife,,,http://lotr.wikia.com//wiki/Vardamir_N%C3%B3limon,,ObjectId(5cd99d4bde30eff6ebccfe45)
Vardilmë,,,,Human,SA 203,"Early ,Second Age",Female,,,,,,,,,http://lotr.wikia.com//wiki/Vardilm%C3%AB,,ObjectId(5cd99d4bde30eff6ebccfe46)
Vidumavi,,,,Human,"Before ,TA 1255",TA 1344,Female,,,,,,Valacar,,,http://lotr.wikia.com//wiki/Vidumavi,,ObjectId(5cd99d4bde30eff6ebccfe47)
Vorondil,,,,Human,TA 1919,TA 2029,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Vorondil,,ObjectId(5cd99d4bde30eff6ebccfe48)
Voronwë,,,,Elf,First Age,,Male,,,,,,None known,,,http://lotr.wikia.com//wiki/Voronw%C3%AB,,ObjectId(5cd99d4bde30eff6ebccfe49)
Vëantur,,,,Human,SA 425,"Early ,Second Age",Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/V%C3%ABantur,,ObjectId(5cd99d4bde30eff6ebccfe4a)
Walda,,,,Human,TA 2780,TA 2851,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Walda,,ObjectId(5cd99d4bde30eff6ebccfe4b)
Willie Banks,,,,Hobbit,"Late ,Third Age","Early ,TA 3019",Male,,,,,Bree,,,,http://lotr.wikia.com//wiki/Willie_Banks,,ObjectId(5cd99d4bde30eff6ebccfe4c)
Wiseman Gamwich,,,,Hobbit,TA 2800,,Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/Wiseman_Gamwich,,ObjectId(5cd99d4bde30eff6ebccfe4d)
Wulf I,,,,Human,"Late ,Third Age",TA 2759,Male,,,,,Rohan,,,,http://lotr.wikia.com//wiki/Wulf_I,,ObjectId(5cd99d4bde30eff6ebccfe4e)
Wídfara,,,,Human,"Late-,Third Age","Early-,Fourth Age",Male,,,,,,Unnamed wife,,,http://lotr.wikia.com//wiki/W%C3%ADdfara,,ObjectId(5cd99d4bde30eff6ebccfe4f)
Írimë,,,,Elf,,,,,,,,,,,,http://lotr.wikia.com//wiki/%C3%8Drim%C3%AB,,ObjectId(5cd99d4bde30eff6ebccfe53)
Óin,,,,Dwarf,,,,,,,,,,,,http://lotr.wikia.com//wiki/%C3%93in,,ObjectId(5cd99d4bde30eff6ebccfe55)
Yávien,,,,Human,SA 371,,Female,,,,,,,,,http://lotr.wikia.com//wiki/Y%C3%A1vien,,ObjectId(5cd99d4bde30eff6ebccfe56)
Dora Baggins,,,,Hobbit,,,,,,,,,,,,http://lotr.wikia.com//wiki/Dora_Baggins,,ObjectId(5cd99d4bde30eff6ebccfe57)
Largo Baggins,,,,Hobbit,,,,,,,,,,,,http://lotr.wikia.com//wiki/Largo_Baggins,,ObjectId(5cd99d4bde30eff6ebccfe58)
Mimosa (Bunce) Baggins,,,,Hobbit,,,,,,,,,,,,http://lotr.wikia.com//wiki/Mimosa_(Bunce)_Baggins,,ObjectId(5cd99d4bde30eff6ebccfe59)
Pansy Baggins,,,,Hobbit,,,,,,,,,,,,http://lotr.wikia.com//wiki/Pansy_Baggins,,ObjectId(5cd99d4bde30eff6ebccfe5a)
Polo Baggins,,,,Hobbit,,,,,,,,,,,,http://lotr.wikia.com//wiki/Polo_Baggins,,ObjectId(5cd99d4bde30eff6ebccfe5b)
Ponto Baggins I,,,,Hobbit,,,,,,,,,,,,http://lotr.wikia.com//wiki/Ponto_Baggins_I,,ObjectId(5cd99d4bde30eff6ebccfe5c)
Bingo Baggins,,,,Hobbit,,,,,,,,,,,,http://lotr.wikia.com//wiki/Bingo_Baggins,,ObjectId(5cd99d4bde30eff6ebccfe5d)
Chica (Chubb) Baggins,,,,Hobbit,,,,,,,,,,,,http://lotr.wikia.com//wiki/Chica_(Chubb)_Baggins,,ObjectId(5cd99d4bde30eff6ebccfe5e)
Óin (King of Durin's Folk),,,,Dwarf,,,,,,,,,,,,http://lotr.wikia.com//wiki/%C3%93in_(King_of_Durin%27s_Folk),,ObjectId(5cd99d4bde30eff6ebccfe5f)
Prisca (Baggins) Bolger,,,,Hobbit,,,,,,,,,,,,http://lotr.wikia.com//wiki/Prisca_(Baggins)_Bolger,,ObjectId(5cd99d4bde30eff6ebccfe60)
Rudibert Bolger,,,,Hobbit,,,,,,,,,,,,http://lotr.wikia.com//wiki/Rudibert_Bolger,,ObjectId(5cd99d4bde30eff6ebccfe61)
Theobald Bolger,,,,Hobbit,,,,,,,,,,,,http://lotr.wikia.com//wiki/Theobald_Bolger,,ObjectId(5cd99d4bde30eff6ebccfe62)
Adalgar Bolger,,,,Hobbit,,,,,,,,,,,,http://lotr.wikia.com//wiki/Adalgar_Bolger,,ObjectId(5cd99d4bde30eff6ebccfe63)
Ruby (Bolger) Baggins,,,,Hobbit,,,,,,,,,,,,http://lotr.wikia.com//wiki/Ruby_(Bolger)_Baggins,,ObjectId(5cd99d4bde30eff6ebccfe64)
Wilimar Bolger,,,,Hobbit,,,,,,,,,,,,http://lotr.wikia.com//wiki/Wilimar_Bolger,,ObjectId(5cd99d4bde30eff6ebccfe65)
Camellia (Sackville) Baggins,,,,Hobbit,,,,,,,,,,,,http://lotr.wikia.com//wiki/Camellia_(Sackville)_Baggins,,ObjectId(5cd99d4bde30eff6ebccfe66)
Everard Took,,,,Hobbit,,,,,,,,,,,,http://lotr.wikia.com//wiki/Everard_Took,,ObjectId(5cd99d4bde30eff6ebccfe67)
Gundahar Bolger,,,,Hobbit,,,,,,,,,,,,http://lotr.wikia.com//wiki/Gundahar_Bolger,,ObjectId(5cd99d4bde30eff6ebccfe68)
Ferdinand Took,,,,Hobbit,,,,,,,,,,,,http://lotr.wikia.com//wiki/Ferdinand_Took,,ObjectId(5cd99d4bde30eff6ebccfe69)
Pervinca Took,,,,Hobbit,,,,,,,,,,,,http://lotr.wikia.com//wiki/Pervinca_Took,,ObjectId(5cd99d4bde30eff6ebccfe6a)
Pimpernel Took,,,,Hobbit,,,,,,,,,,,,http://lotr.wikia.com//wiki/Pimpernel_Took,,ObjectId(5cd99d4bde30eff6ebccfe6b)
Ferdibrand Took,,,,Hobbit,,,,,,,,,,,,http://lotr.wikia.com//wiki/Ferdibrand_Took,,ObjectId(5cd99d4bde30eff6ebccfe6c)
Reginard Took,,,,Hobbit,,,,,,,,,,,,http://lotr.wikia.com//wiki/Reginard_Took,,ObjectId(5cd99d4bde30eff6ebccfe6d)
Flambard Took,,,,Hobbit,,,,,,,,,,,,http://lotr.wikia.com//wiki/Flambard_Took,,ObjectId(5cd99d4bde30eff6ebccfe6e)
Lalia (Clayhanger) Took,,,,Hobbit,,,,,,,,,,,,http://lotr.wikia.com//wiki/Lalia_(Clayhanger)_Took,,ObjectId(5cd99d4bde30eff6ebccfe6f)
Ruby Gamgee,,,,Hobbit,,,,,,,,,,,,http://lotr.wikia.com//wiki/Ruby_Gamgee,,ObjectId(5cd99d4bde30eff6ebccfe70)
Rudolph Bolger,,,,Hobbit,,,,,,,,,,,,http://lotr.wikia.com//wiki/Rudolph_Bolger,,ObjectId(5cd99d4bde30eff6ebccfe71)
Tanta (Hornblower) Baggins,,,,Hobbit,,,,,,,,,,,,http://lotr.wikia.com//wiki/Tanta_(Hornblower)_Baggins,,ObjectId(5cd99d4bde30eff6ebccfe72)
Inigo Baggins,,,,Hobbit,,,,,,,,,,,,http://lotr.wikia.com//wiki/Inigo_Baggins,,ObjectId(5cd99d4bde30eff6ebccfe73)
Tanta Hornblower,,,,Hobbit,,,,,,,,,,,,http://lotr.wikia.com//wiki/Tanta_Hornblower,,ObjectId(5cd99d4bde30eff6ebccfe74)
